asset_id,name
W01Y114042,Xeomin - 2020 2021 DTC - 201001 - WB-S - Launch
W01E116881,Keytruda 2020 - RCC - WB-S 200706
W02599,CVS 2020 - Master - WB-S Abbrev List BetterMDP 200921 Creative Swap
W13724,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W26953,CVS 2020 - Master - WB-S Zip Specific  Delivery 200414 Creative Swap
W05947,Unity4TeenVax_2020_2H_WB_200720_Launch
W08551,CVS 2020 - Master - WB-S Zip Specific Delivery 200921 Creative Swap
W01E126219,Soliqua 2020 - WB-S - Non Writers Target - 201208 - Creative Swap
W01E108895,CVS 2020 - Master - WB-S Abbrev List BetterMDP 201026 Creative Swap
W01E104114,Tremfya 2020 - WB-S - 200901 - ISI Swap
W01E100985,Repatha_2020_Master_WB_S_200401_Launch
W01E116879,Tecentriq SCLC 2020 - Master - WB-S 200330 Creative Swap
W24880,Unity4TeenVax_2020_2H_WB_200720_Launch
W08065,Ajovy 2020 - 200701 - WB-S - Launch
W08066,Bexsero 2020 - Master - 2007015 - WB-S - Launch
W01E102335,Tremfya 2020 - WB-S 200622 Launch
W01E104525,CVS 2020 - Master - WB-S Abbrev List BetterMDP 200810 Creative Swap
W01E106356,Bexsero 2020 - Master - 2007015 - WB-S - Launch
W08066,Repatha_2020_Master_WB_200601_Launch
W15365,Erleada 2020 ERT Brochure WB - Addendum - WB-S - 201106 - Creative Swap
W28681,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E126217,Unity4TeenVax_2020_2H_WB_200720_Launch
W35105,Edwards Lifescience Mar-Oct 2020 - Master - WB-S - 200229 - Launch
W07998,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W35174,Edwards Lifescience March - October 2020 - 200727 - WB-S - Increased Frequency- URL swap
W35086,Edwards Lifescience March - October 2020 - 200507 - WB-S - Increased Frequency
W01E133283,Unity4TeenVax_2020_2H_WB_200720_Launch
W04684,Xywav 2020 - Master - 210104 - WB-S - Creative Swap
W01E123822,Soliqua 2020 - WB-S - Writers Target - 201020 - Creative Swap
W01E123822,CVS 2020 - Master - WB-S Abbrev List Better MDP 200414 Creative Swap
W42805,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E107254,Xywav 2020 - Master - 201001 - WB-S - Launch
W08744,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01133,Dexcom CGM 2020 - Master - 200804 - WB-S - Creative Swap Tags Added
W01133,Dexcom CGM 2020 - Master -200701 - WB-S - Launch
W01E122503,Epclusa 2020 - Addendum INI - WB-S - 201001 - Creative Swap
W24891,Xywav 2020 - Master - 201101 - WB-S - Creative Swap
W01E120277,Austedo 2020 - Master - Targeting Change - 201102 - WB-S - Launch
W04541,Xywav 2020 - Master - 201101 - WB-S - Creative Swap
W01Y111404,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E120263,Austedo 2020 - Master - Targeting Change - 201102 - WB-S - Launch
W24891,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E134173,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W01E102335,Tecentriq Avastin 2020 HCC - Master - WB-S 201207 Creative Swap
W25417,Dexcom CGM 2020 - Master -200720 - WB-S - Launch
W01Y108361,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E107204,Bexsero 2020 - Master - 2007015 - WB-S - Launch
W04932,Dexcom CGM 2020 - Master - 200804 - WB-S - Creative Swap Tags Added
W01E104116,Tremfya 2020 - WB-S 200618 Launch
W08066,Repatha_2020_Master_WB_S_200401_Launch
W15365,Erleada 2020 ERT Brochure WB  - Addendum - WB-S - 201005 - Launch
W04932,Ajovy 2020 - 200715 - WB-S - Creative Swap
W08070,Soliqua 2020 - WB-S - Non Writers Target - 201020 - Creative Swap
W08070,Soliqua 2020 - WB-S - Non Writers Target - 201208 - Creative Swap
W37748,Erleada 2020 ERT Brochure WB  - Addendum - WB-S - 201005 - Launch
W01E123822,CVS 2020 - Master - WB-S Abbrev List BetterMDP 201026 Creative Swap
W26953,Ajovy 2020 - 200701 - WB-S - Launch
W04684,Ajovy 2020 - 200701 - WB-S - Launch
W08271,Repatha_2020_Master_WB_200601_Launch
W27346,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W06986,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E102347,Ajovy 2020 - 200715 - WB-S - Creative Swap
W08271,Unity4TeenVax_2020_2H_WB_200720_Launch
W08744,CVS 2020 - Master - WB-S Zip Specific Delivery 201026 Creative Swap
W01E104879,Dexcom CGM 2020 - Master -200701 - WB-S - Launch
W08736,Bexsero 2020 - Master - 2007015 - WB-S - Launch
W35174,Erleada 2020 ERT Brochure WB - Addendum - WB-S - 201106 - Creative Swap
W04675,Ajovy 2020 - 200701 - WB-S - Launch
W01E100428,Ajovy 2020 - 200701 - WB-S - Launch
W01E123822,CVS 2020 - Master - WB-S Zip Specific Better MDP 200626 Creative Swap
W04932,Dexcom CGM 2020 - Master -200701 - WB-S - Launch
