asset_id,avg_campaigns,JUNE_avg_video_dispalys,JUL_avg_video_dispalys,AUG_avg_video_dispalys,SEPT_avg_video_dispalys,OCT_avg_video_dispalys,NOV_avg_video_dispaly,JUNE_avg_video_duration,JUL_avg_video_duration,AUG_avg_video_duration,SEPT_avg_video_duration,OCT_avg_video_duration,NOV_avg_video_duration
W15026,1.8333333333333333,491.8181818181818,0.0,0.0,0.0,0.0,0.0,9923867.272727273,0.0,0.0,0.0,0.0,0.0
W15026,1.8333333333333333,0.0,0.0,0.0,0.0,224.1818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W15026,1.8333333333333333,0.0,0.0,0.0,123.31818181818181,0.0,0.0,0.0,0.0,0.0,663742.2727272727,0.0,0.0
W15026,1.8333333333333333,0.0,123.95652173913044,0.0,0.0,0.0,0.0,0.0,2482982.304347826,0.0,0.0,0.0,0.0
W01Y103297,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,369.3636363636364,0.0,0.0,0.0,0.0,0.0,0.0
W01Y103297,2.6666666666666665,0.0,0.0,0.0,246.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W01Y103297,2.6666666666666665,0.0,0.0,0.0,0.0,353.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W01E101565,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,470.2608695652174,0.0,0.0,0.0,0.0,0.0,9534172.652173912
W01E101565,3.6666666666666665,273.2307692307692,0.0,0.0,0.0,0.0,0.0,5470433.307692308,0.0,0.0,0.0,0.0,0.0
W01E101565,3.6666666666666665,0.0,363.5833333333333,0.0,0.0,0.0,0.0,0.0,7279485.833333333,0.0,0.0,0.0,0.0
W01E101565,3.6666666666666665,0.0,0.0,0.0,0.0,414.57142857142856,0.0,0.0,0.0,0.0,0.0,8344164.047619048,0.0
W01E101565,3.6666666666666665,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,5984673.6,0.0,0.0
W01E101565,3.6666666666666665,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,600712.0,0.0,0.0,0.0
W14556,1.0,0.0,0.0,0.0,0.0,0.0,104.33333333333333,0.0,0.0,0.0,0.0,0.0,2090076.6666666667
W14556,1.0,106.47058823529412,0.0,0.0,0.0,0.0,0.0,2132686.8235294116,0.0,0.0,0.0,0.0,0.0
W14556,1.0,0.0,0.0,106.28571428571429,0.0,0.0,0.0,0.0,0.0,2129146.1428571427,0.0,0.0,0.0
W14556,1.0,0.0,106.88888888888889,0.0,0.0,0.0,0.0,0.0,2141160.9444444445,0.0,0.0,0.0,0.0
W34323,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,241.4,0.0,0.0,0.0,0.0,0.0,0.0
W34323,1.3333333333333333,0.0,0.0,274.6666666666667,0.0,0.0,0.0,0.0,0.0,5499124.857142857,0.0,0.0,0.0
W34323,1.3333333333333333,0.0,0.0,0.0,0.0,208.55555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W34323,1.3333333333333333,0.0,0.0,0.0,273.27272727272725,0.0,0.0,0.0,0.0,0.0,1968482.3636363635,0.0,0.0
W34323,1.3333333333333333,136.0,0.0,0.0,0.0,0.0,0.0,2809975.6363636362,0.0,0.0,0.0,0.0,0.0
W34323,1.3333333333333333,0.0,137.3913043478261,0.0,0.0,0.0,0.0,0.0,2903101.652173913,0.0,0.0,0.0,0.0
